"date","Temperature","Power.kW.","HDD15"
2019-01-01,2293.125,215.416666666667,0
2019-01-02,1220.95652173913,340.913043478261,0
2019-01-03,1075.6,345,0
2019-01-04,1118.47368421053,316.315789473684,0
2019-01-05,1279.5,273.333333333333,0
2019-01-06,1326.66666666667,327.375,0
2019-01-07,1018.83333333333,358.555555555556,0
2019-01-08,752.85,339.1,0
2019-01-09,1097.2380952381,355.857142857143,0
2019-01-10,1162.85714285714,338.380952380952,0
2019-01-11,840.15,290.95,0
2019-01-12,548.333333333333,159.416666666667,0
2019-01-13,544.458333333333,189.291666666667,0
2019-01-14,1047.95652173913,291.260869565217,0
2019-01-15,1167.1,338.35,0
2019-01-16,1059.42857142857,340.190476190476,0
2019-01-17,2028.52173913043,326.782608695652,0
2019-01-18,1081.91304347826,377.782608695652,0
2019-01-19,976.666666666667,250.125,0
2019-01-20,922.625,250.083333333333,0
2019-01-21,757.052631578947,434.368421052632,0
2019-01-22,570.714285714286,425.071428571429,0
2019-01-23,881.157894736842,376.526315789474,0
2019-01-24,888,377.833333333333,0
2019-01-25,547.058823529412,412.294117647059,0
2019-01-26,650.75,300.458333333333,0
2019-01-27,944.458333333333,319.041666666667,0
2019-01-28,985.052631578947,431,0
2019-01-29,1201.85,341.35,0
2019-01-30,967.428571428571,311.571428571429,0
2019-01-31,1241.05882352941,316.941176470588,0
2019-02-01,588.285714285714,264.380952380952,0
2019-02-02,951.583333333333,185.958333333333,0
2019-02-03,2637.58333333333,183,0
2019-02-04,697.409090909091,343.090909090909,0
2019-02-05,557.809523809524,314.047619047619,0
2019-02-06,680.608695652174,356.869565217391,0
2019-02-07,1340.4375,292.0625,0
2019-02-08,1929.04761904762,308.428571428571,0
2019-02-09,4923.45833333333,175.541666666667,0
2019-02-10,5070.25,195.5,0
2019-02-11,2144.68421052632,270.894736842105,0
2019-02-12,865.944444444444,247.444444444444,0
2019-02-13,537.684210526316,299.368421052632,0
2019-02-14,1778.63636363636,331.5,0
2019-02-15,3955.86956521739,299.304347826087,0
2019-02-16,5964.5,110.041666666667,0
2019-02-17,2793.125,115.625,0
2019-02-18,1756.9,310.1,0
2019-02-19,4588.85714285714,265.619047619048,0
2019-02-20,3091.39130434783,319.869565217391,0
2019-02-21,1240.64705882353,282,0
2019-02-22,1240.11764705882,297,0
2019-02-23,1208.08333333333,199.416666666667,0
2019-02-24,2069.16666666667,185.416666666667,0
2019-02-25,4209.78260869565,287,0
2019-02-26,2135.72727272727,295,0
2019-02-27,1714.26315789474,291.736842105263,0
2019-02-28,2599.95238095238,271.714285714286,0
2019-03-01,1149.5,322.111111111111,0
2019-03-02,1384.08333333333,203.833333333333,0
2019-03-03,717.125,168.083333333333,0
2019-03-04,654.588235294118,239.058823529412,0
2019-03-05,3377.55,317,0
2019-03-06,1042,329.055555555556,0
2019-03-07,2607.05555555556,214.722222222222,0
2019-03-08,6859.29166666667,289.541666666667,0
2019-03-09,3522.5,150,0
2019-03-10,3172.70833333333,165.708333333333,0
2019-03-11,822.882352941176,270.470588235294,0
2019-03-12,972.235294117647,274.058823529412,0
2019-03-13,894.631578947368,264.526315789474,0
2019-03-14,3481.61904761905,248.952380952381,0
2019-03-15,5829.09090909091,254.090909090909,0
2019-03-16,4560.54166666667,110.083333333333,0
2019-03-17,3626.29166666667,141.666666666667,0
2019-03-18,5562.63636363636,276.090909090909,0
2019-03-19,4566.05,275.25,0
2019-03-20,2877.38095238095,347.52380952381,0
2019-03-21,5120.4,209.75,0
2019-03-22,4977.66666666667,225.142857142857,0
2019-03-23,4567.75,210.125,0
2019-03-24,5140.70833333333,177.416666666667,0
2019-03-25,2951.95833333333,276.833333333333,0
2019-03-26,1464.73684210526,223.736842105263,0
2019-03-27,3036.04545454545,314.545454545455,0
2019-03-28,4764.09523809524,253.190476190476,0
2019-03-29,6882.31818181818,178.545454545455,0
2019-03-30,5983.04166666667,236.708333333333,0
2019-03-31,5738.21739130435,196.521739130435,0
2019-04-01,4000.54545454545,284.5,0
2019-04-02,4475.04347826087,298,0
2019-04-03,3647.47826086957,320.913043478261,0
2019-04-04,4419.39130434783,315.434782608696,0
2019-04-05,5161.08333333333,332.541666666667,0
2019-04-06,5089.58333333333,295.625,0
2019-04-07,5228.16666666667,416.083333333333,0
2019-04-08,5840.60869565217,325.217391304348,0
2019-04-09,2632.86363636364,255.772727272727,0
2019-04-10,1414.38095238095,251.952380952381,0
2019-04-11,318.222222222222,242.166666666667,0
2019-04-12,2233.26315789474,268.789473684211,0
2019-04-13,4321,104.416666666667,0
2019-04-14,4877.20833333333,175.541666666667,0
2019-04-15,5103.47826086957,278.521739130435,0
2019-04-16,4299.95652173913,287.652173913043,0
2019-04-17,4953.04166666667,253.041666666667,0
2019-04-18,5100.13043478261,270.304347826087,0
2019-04-19,4835.91666666667,254.75,0
2019-04-20,5619.25,593.291666666667,0
2019-04-21,5261.375,348.625,0
2019-04-22,5053.20833333333,260.708333333333,0
2019-04-23,4524.25,390.75,0
2019-04-24,4813.45833333333,358.875,0
2019-04-25,4289.54166666667,409.625,0
2019-04-26,4657.125,357.666666666667,0
2019-04-27,4377.70833333333,425.958333333333,0
2019-04-28,5618.75,546.041666666667,0
2019-04-29,5332.66666666667,261.791666666667,0
2019-04-30,5192.40909090909,281.454545454545,0
2019-05-01,4935.5,283.583333333333,0
2019-05-02,7268.91666666667,305.333333333333,0
2019-05-03,4459.73913043478,302.782608695652,0
2019-05-04,4923.25,301.375,0
2019-05-05,5971.70833333333,184.125,0
